Bird 1,Early Bird,Remove one sleep and confusion counter at the start of each turn,Eagle Eye,Flying,Accuracy +1,Wind-caller  1,Bird 2,Speed,Flying,0,Bird 1
Bird 2,Big Pecks,"Prevent status reductions to (Defense), (Special Defense) , and Evasion",Gale Wings,Flying," Strain + 2, Reaction, Vigor",Hyper 1,Acrobatics 3,Speed,Flying,0,Bird 2
Insect 1,Overcoat,Gain immunity to weather damage and AOE status effects,Compound Eyes,,Accuracy +1,Stinger 1,Insect 2,Speed,Bug,0,Insect 1
Insect 2,Shed Skin,[Turn] Double White: cure all status ailments,Tinted Lens,,Prevent damage loss when attacking a resistant target,Trickster 1,Queen +,Speed,Bug,0,Insect 2
Tentacle Monster 1,Clear Body,Increase defense by 2 against status moves,Entangle,Melee,Immobilize(1),Sphere 1,Vine 2,Defense,Normal,Stab,Tentacle monster 1
Plant 1,Leaf Guard,Prevent status effects if boosted by weather,Chlorophyll,Grass,"Strain + 1, gain reaction in sunlight or harsh sunlight",Vine 1,Solar 2,Special Defense,Grass,0,Plant 1
Vine 1,Reach,Melee moves(eDefensecluding charge) may be used at range,Slap Sting,Attack, Flinch,Nature 1,Vine 2,Attack,Normal,Stab,Vine 1
Vine 2,Entangle,Spend 7 against a melee move to Grapple and immobilize,Twin Vine,Attack," Double hit, Hinder",Plant 1,Vine 3,Defense,Normal,Stab,Vine 2
Vine 3,Ablevine,Ignore loss of accuracy from immobilization and Hinder,Sweep,Attack," AOE, Hinder",Swordsman +,Wild,Attack,Normal,Stab,Vine 3
Viper 1,Viper Strike,May react to reaction moves,Asphyxiate,Melee,Tire 2,Venomous 1,Fang 2,Attack,Normal,Stab,Viper 1
Bomb 1,Aftermath,Deal 5 cosmic AOE damage when the user faints,Hazardous,,"Double white: Move is Boosted,     Double black: AOE, Boosted, Martyr",Mechanical 1,Mechanical 2,Speed,Normal,0,Bomb 1
Beast 1,Scrappy,Enable Normal and Fighting to hit Ghost,Instinctual,Attack,"Strain -1, May not be disabled",Bulk 1,Beast 2,Defense,Normal,Stab,Beast 1
Beast 2,Wild Nature,[Once] Boost random attribute when entering combat,Vigor,Attack,"Strain +2, Accuracy -1, Boosted, Vigor",Hunger 1,Beast 3,Attack,Normal,Stab,Beast 2
Beast 3,Thick Skin,Reduce all damage by 1,Desperate,Attack,If User has 0 or fewer strain this move is boosted,Hidden power +,Wild,Defense,Normal,0,Beast 3
Horn 1,Charge,All melee moves may be used as charge moves.,Bull Rush,Attack,Move becomes charge and gains flinch and knockback,Anger 1,Horn 2,Attack,Normal,Stab,Horn 1
Horn 2,Lightning Rod,[Aura] prevent Electric attacks,Skewer,Attack,"Accuracy -2, May react to enemy entering melee range.",Stinger 1,Horn 3,Attack,Normal,Stab,Horn 2
Horn 3,Finisher,OHKO moves are boosted if the target is damaged.,Puncture,Attack,Bleed(3),Beast +,Wild,Attack,Normal,Stab,Horn 3
Stinger 1,Exoskeleton,Critical hits are hindered.,Lightsting,Attack,"Hinder, Reaction",Horn 1,Venomous 2,Attack,Bug,Poison,Stinger 1
Herbivore 1,Sap Sipper,Boost Attack when hit by a Grass attack.,Plant Eater,,Gain boosted vs Grass,Beast 1,Beast 2,Defense,Normal,0,Herbivore 1
Claw 1,Hyper Cutter,Prevent status reductions to Attack and accuracy,Vicious,,Vicious,Valor 1,Claw 2,Attack,Normal,Stab,Claw 1
Claw 2,Melee Fighter,+1 accuracy for melee attacks,Tough Claws,"Attack, 7 or less power ",Boosted,Hyper 1,Beast 3,Attack,Normal,Stab,Claw 2
Ratite 1,Tangled Feet,Prevent self-harm from confusion. Evasion +1 when confused.,Grounded,Flying,"Gains Normal type, boosted vs Electric",Wind caller 1,Beast 2,Speed,Flying,0,Ratite 1
Shadow 1,Cursed Body,Spend Threat when defending to disable the attacking move.,Encrypt,,"Move becomes Ghost, Ignore immunity to Normal ",Trickster 1,Shadow 2,Special Defense,Ghost,0,Shadow 1
Shadow 2,Levitate,Gain immunity to Ground attacks.,Phantom,[Melee],Become Ranged,Scheming 1,Shadow 3,C,Ghost,0,Shadow 2
Shadow 3,Evasive,Unaimed attacks lose one accuracy,Haunt,,"Hinder, After knocked out, attack last attacker at end of next turn",Medium +,Wild,Speed,Ghost,0,Shadow 3
Drake 1,Dragon Soul,Evade(2): Gain Dragon typing (Can have Dragon type Defense 2) until next turn,Dragon Heart,,Becomes Dragon type in addition to its other type.,Pyromancer 1,Pureblood 2,Attack,Dragon,Fire,Drake 1
Pureblood 2,Multiscale,Hinder all attacks while at full HP,Mythic,Dragon,"Accuracy +1, Strain -1",Leviathan 1,Pureblood 3,Special Defense,Dragon,0,Pureblood 2
Pureblood 3,Dragon Scales,Become immune to status effects from attacks that you resist.,Legendary,Dragon,Boost random stat(1),Drake +,Wild,Defense,Dragon,0,Pureblood 3
Sphere 1,Rollaway,Evade(Defense): Reduce damage by Defense,Trample,"Attack, Melee",Immobilize,Hidden power 1,Sphere 2,Speed,Normal,0,Sphere 1
Sphere 2,Acceleration,Charge attacks may be used in melee and can move +1 space,Rolling,Melee,Charge,Hoarder 1,Beast 3,Attack,Normal,0,Sphere 2
Canine 1,Pack Leader,Melee Moves targeting enemies in melee range are boosted,Guardian,,Goad(1),Enthusiasm 1,Fang 2,Defense,Normal,Dark,Canine 1
Rodent 1,Cheek Pouch,All berries gain (Restore),Infiltrator,,"Move becomes melee, Penetrate",Hyper 1,Fang 2,Speed,Normal,Dark,Rodent 1
Fang 2,Strong Jaw,After Hitting with a melee move boost Attack,Puncture,Attack,Bleed (3),Elemental Fang 1,Anger 3,Attack,Normal,Dark,Fang 2
Shellshock 1,Shell Armor,Critical hits are hindered.,Turtle Fire,Ranged,"Hinder, Attacks against you are hindered until end of next round",Hoarder 1,Shellshock 2,Defense,Water,Normal,Shellshock 1
Shellshock 2,Turtle Up,No loss of maDefense evasion when dodging melee attacks or grappled,Shell Bash,Attack,Before attacking switch Defense and Attack until end of next turn,Hydropower 1,Beast 3,Defense,Water,Normal,Shellshock 2
Mechanical 1,Battle Armor,Critical hits are Hindered.,Dual Core,[Self],"Stain +1, Reaction",Metal Coat 1,Mechanical 2,Defense,Steel,0,Mechanical 1
Mechanical 2,Prioritize,[once] Gain +2 to two stats and -1 to all others when resting,Download,,Change the damage type to be the lower of the opponents defenses,Bomb 1,Magnetism +,Defense,Steel,0,Mechanical 2
Bat 1,Echolocation,Immune to accuracy reduction. Increase accuracy by 1 in enclosed area,Leech,,"Hinder, Absorb",Acrobatics 1,Fang 2,Special Defense,Normal,0,Bat 1
Leviathan 1,Marvel Scale,Boost Defense by 2 if the user has a status condition,Tempest,,Boosted when strain is below 0,Surf 1,Pureblood 2,Defense,Dragon,0,Leviathan 1
Neonate 0,Snake Eyes,Boost accuracy after missing an attack,Favored Move,,"Gain Access to Favored Move, it gains +1 Accuracy",Skill 1,Adult 1,Special Defense,Poison,0,Neonate 0
Larva 0,Shield Dust,Prevent triggered effects from damaging moves,Favored Move,,"Gain Access to Favored Move, it gains +1 Accuracy",Skill 1,Adult 1,Defense,Bug,0,Larva 0
Gear 0,Levitate,Gain immunity to Ground  attacks,Favored Move,,"Gain Access to Favored Move, it gains +1 Accuracy",Skill 1,Adult 1,C,Steel,0,Gear 0
Pebble 0,Sturdy,[Once] Remain at one HP if a move would KO this Pokémon.,Favored Move,,"Gain Access to Favored Move, it gains +1 Accuracy",Skill 1,Adult 1,Defense,Rock,0,Pebble 0
Mole 0,Whack-a-mole,Evade(1): increase evasion by 2 when not affected by status condition,Favored Move,,"Gain Access to Favored Move, it gains +1 Accuracy",Skill 1,Adult 1,Defense,Ground,0,Mole 0
Imp 0,Mischievous,Status attacks have +1 accuracy,Favored Move,,"Gain Access to Favored Move, it gains +1 Accuracy",Skill 1,Adult 1,Special Defense,Normal,0,Imp 0
Seedling 0,Harvest,"After using a berry, roll a destiny die, if white restore the berry",Favored Move,,"Gain Access to Favored Move, it gains +1 Accuracy",Skill 1,Adult 1,Defense,Grass,0,Seedling 0
Spawn 0,Hydration,[Turn] M remove status conditions from self if water is boosted,Favored Move,,"Gain Access to Favored Move, it gains +1 Accuracy",Skill 1,Adult 1,Defense,Water,0,Spawn 0
Chic 0,Plumage,Gain resistance to Water; Ignore hinder/damage effects from weather,Favored Move,,"Gain Access to Favored Move, it gains +1 Accuracy",Skill 1,Adult 1,Speed,Flying,0,Chic 0
